id	description	dataset	category	subcategory	region	delay	universe	type	dateCoverage	coverage	userCount	alphaCount	themes
nws18_acb	News sentiment specializing in corporate action announcements	{'id': 'news18', 'name': 'Ravenpack News Data'}	{'id': 'news', 'name': 'News'}	{'id': 'news-news-sentiment', 'name': 'News Sentiment'}	USA	1	TOP1000	VECTOR	1.0	0.5	16	26	[]
nws18_bam	News sentiment specializing in mergers and acquisitions	{'id': 'news18', 'name': 'Ravenpack News Data'}	{'id': 'news', 'name': 'News'}	{'id': 'news-news-sentiment', 'name': 'News Sentiment'}	USA	1	TOP1000	VECTOR	1.0	0.5	12	24	[]
nws18_bee	News sentiment specializing in growth of earnings	{'id': 'news18', 'name': 'Ravenpack News Data'}	{'id': 'news', 'name': 'News'}	{'id': 'news-news-sentiment', 'name': 'News Sentiment'}	USA	1	TOP1000	VECTOR	1.0	0.5	11	11	[]
nws18_ber	News sentiment specializing in earnings result	{'id': 'news18', 'name': 'Ravenpack News Data'}	{'id': 'news', 'name': 'News'}	{'id': 'news-news-sentiment', 'name': 'News Sentiment'}	USA	1	TOP1000	VECTOR	1.0	0.5	8	11	[]
nws18_event_relevance	Relevance of the event to the story	{'id': 'news18', 'name': 'Ravenpack News Data'}	{'id': 'news', 'name': 'News'}	{'id': 'news-news-sentiment', 'name': 'News Sentiment'}	USA	1	TOP1000	VECTOR	1.0	0.5	22	32	[]
nws18_event_similarity_days	Days since a similar event was detected	{'id': 'news18', 'name': 'Ravenpack News Data'}	{'id': 'news', 'name': 'News'}	{'id': 'news-news-sentiment', 'name': 'News Sentiment'}	USA	1	TOP1000	VECTOR	1.0	0.5	13	19	[]
nws18_ghc_lna	Change in analyst recommendation	{'id': 'news18', 'name': 'Ravenpack News Data'}	{'id': 'news', 'name': 'News'}	{'id': 'news-news-sentiment', 'name': 'News Sentiment'}	USA	1	TOP1000	VECTOR	1.0	0.5	14	19	[]
nws18_nip	Degree of impact of the news	{'id': 'news18', 'name': 'Ravenpack News Data'}	{'id': 'news', 'name': 'News'}	{'id': 'news-news-sentiment', 'name': 'News Sentiment'}	USA	1	TOP1000	VECTOR	1.0	0.5	12	21	[]
nws18_qcm	News sentiment of relevant news with high confidence	{'id': 'news18', 'name': 'Ravenpack News Data'}	{'id': 'news', 'name': 'News'}	{'id': 'news-news-sentiment', 'name': 'News Sentiment'}	USA	1	TOP1000	VECTOR	1.0	0.5	12	14	[]
nws18_qep	News sentiment based on positive and negative words on global equity	{'id': 'news18', 'name': 'Ravenpack News Data'}	{'id': 'news', 'name': 'News'}	{'id': 'news-news-sentiment', 'name': 'News Sentiment'}	USA	1	TOP1000	VECTOR	1.0	0.5	10	12	[]
