id	description	dataset	category	subcategory	region	delay	universe	type	dateCoverage	coverage	userCount	alphaCount	themes
analyst_revision_rank_derivative	Change in ranking for analyst revisions and momentum compared to previous period.	{'id': 'model16', 'name': 'Fundamental Scores'}	{'id': 'model', 'name': 'Model'}	{'id': 'model-valuation-models', 'name': 'Valuation Models'}	USA	1	TOPSP500	MATRIX	1.0	1.0	0	0	[]
cashflow_efficiency_rank_derivative	Change in ranking for cash flow generation and profitability compared to previous period.	{'id': 'model16', 'name': 'Fundamental Scores'}	{'id': 'model', 'name': 'Model'}	{'id': 'model-valuation-models', 'name': 'Valuation Models'}	USA	1	TOPSP500	MATRIX	1.0	1.0	0	0	[]
composite_factor_score_derivative	Change in overall composite factor score from the prior period.	{'id': 'model16', 'name': 'Fundamental Scores'}	{'id': 'model', 'name': 'Model'}	{'id': 'model-valuation-models', 'name': 'Valuation Models'}	USA	1	TOPSP500	MATRIX	1.0	1.0	0	0	[]
earnings_certainty_rank_derivative	Change in ranking for earnings sustainability and certainty compared to previous period.	{'id': 'model16', 'name': 'Fundamental Scores'}	{'id': 'model', 'name': 'Model'}	{'id': 'model-valuation-models', 'name': 'Valuation Models'}	USA	1	TOPSP500	MATRIX	1.0	1.0	0	0	[]
fscore_bfl_growth	The purpose of this metric is to qualify the expected MT growth potential of the stock.	{'id': 'model16', 'name': 'Fundamental Scores'}	{'id': 'model', 'name': 'Model'}	{'id': 'model-valuation-models', 'name': 'Valuation Models'}	USA	1	TOPSP500	MATRIX	1.0	0.3807	0	0	[]
fscore_bfl_momentum	The purpose of this metric is to identify stocks which are currently undergoing either up or downward analyst revisions.	{'id': 'model16', 'name': 'Fundamental Scores'}	{'id': 'model', 'name': 'Model'}	{'id': 'model-valuation-models', 'name': 'Valuation Models'}	USA	1	TOPSP500	MATRIX	1.0	0.3774	0	0	[]
fscore_bfl_profitability	The purpose of this metric is to rank stock based on their ability to generate cash flows.	{'id': 'model16', 'name': 'Fundamental Scores'}	{'id': 'model', 'name': 'Model'}	{'id': 'model-valuation-models', 'name': 'Valuation Models'}	USA	1	TOPSP500	MATRIX	1.0	0.3797	0	0	[]
fscore_bfl_quality	The purpose of this metric is to measure both the sustainability and certainty of earnings.	{'id': 'model16', 'name': 'Fundamental Scores'}	{'id': 'model', 'name': 'Model'}	{'id': 'model-valuation-models', 'name': 'Valuation Models'}	USA	1	TOPSP500	MATRIX	1.0	0.3828	0	0	[]
fscore_bfl_surface	The static score. An index between 0 & 100 is applied for each stock and each composite factor - The first ranking is a pentagon surface-based score. The larger the surface, the higher the rank.	{'id': 'model16', 'name': 'Fundamental Scores'}	{'id': 'model', 'name': 'Model'}	{'id': 'model-valuation-models', 'name': 'Valuation Models'}	USA	1	TOPSP500	MATRIX	1.0	0.374	0	0	[]
fscore_bfl_surface_accel	The derivative score. In a second step, we calculate the derivative of this score (ie: Is the surface of the pentagon increasing or decreasing from the previous month?).	{'id': 'model16', 'name': 'Fundamental Scores'}	{'id': 'model', 'name': 'Model'}	{'id': 'model-valuation-models', 'name': 'Valuation Models'}	USA	1	TOPSP500	MATRIX	1.0	0.3726	0	0	[]
fscore_bfl_total	The final score M-Score is a weighted average of both the Pentagon surface score and the Pentagon acceleration score.	{'id': 'model16', 'name': 'Fundamental Scores'}	{'id': 'model', 'name': 'Model'}	{'id': 'model-valuation-models', 'name': 'Valuation Models'}	USA	1	TOPSP500	MATRIX	1.0	0.3726	0	0	[]
fscore_bfl_value	The purpose of this metric is to see if the stock is under or overpriced given several well known valuation standards.	{'id': 'model16', 'name': 'Fundamental Scores'}	{'id': 'model', 'name': 'Model'}	{'id': 'model-valuation-models', 'name': 'Valuation Models'}	USA	1	TOPSP500	MATRIX	1.0	0.3808	0	0	[]
fscore_growth	The purpose of this metric is to qualify the expected MT growth potential of the stock.	{'id': 'model16', 'name': 'Fundamental Scores'}	{'id': 'model', 'name': 'Model'}	{'id': 'model-valuation-models', 'name': 'Valuation Models'}	USA	1	TOPSP500	MATRIX	1.0	0.2987	6	7	[]
fscore_momentum	The purpose of this metric is to identify stocks which are currently undergoing either up or downward analyst revisions.	{'id': 'model16', 'name': 'Fundamental Scores'}	{'id': 'model', 'name': 'Model'}	{'id': 'model-valuation-models', 'name': 'Valuation Models'}	USA	1	TOPSP500	MATRIX	1.0	0.2973	6	6	[]
fscore_profitability	The purpose of this metric is to rank stock based on their ability to generate cash flows.	{'id': 'model16', 'name': 'Fundamental Scores'}	{'id': 'model', 'name': 'Model'}	{'id': 'model-valuation-models', 'name': 'Valuation Models'}	USA	1	TOPSP500	MATRIX	1.0	0.2981	3	7	[]
fscore_quality	The purpose of this metric is to measure both the sustainability and certainty of earnings.	{'id': 'model16', 'name': 'Fundamental Scores'}	{'id': 'model', 'name': 'Model'}	{'id': 'model-valuation-models', 'name': 'Valuation Models'}	USA	1	TOPSP500	MATRIX	1.0	0.2993	3	6	[]
